Hang_muc,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Area (Thousand ha),497.4,497,509.3,530.9,538.5,554.8,586.2,623,637,641.2,643.3,650.6,664.6,680.7,688.7,695.6,705.9,709,718.4,731.9
San luong ca phe san xuat,831000,985300,1251000,1055811,1057540,1105700,1276506,1260463,1326688,1406469,1452999,1460800,1542398,1616307,1686745,1763476,1845033,1953990,1956782,null
San luong ca phe xuat khau (Thousand tons),Null,Null,1229000,1060000,1183523,1217868,1257246,1732156,1300146,1690564,1341169,1780328,1566176,1876967,1657568,1565280,1561903,1777412,1623151,1345202
,,,,,,,,,,,,,,,,,,,,
Hang_muc,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Tong_luong_mua(mm),2424.5,2111.9,2062,2329.3,1887.3,1890,1634.1,2457.7,2243.8,2207.5,2567.2,2725.4,2725.4,1645,2314,2178,2048,1897,2101,1707
Do_am_trung_binh(%),81.33,81.08,81.08,81.33,82.5,80.92,80.08,80.17,80.25,80.83,82.25,83,83,83.5,82.92,83.17,82.83,83.58,84.5,84.83
Nhiet_do_trung_binh(Celcius),22.61,23.04,22.92,22.62,22.79,23.34,22.91,22.43,22.44,22.54,21.57,21.98,21.99,21.79,22.08,22.3,22.34,21.83,21.88,22.11
,,,,,,,,,,,,,,,,,,,,
Hang_muc,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kim Ngach, Null, Null,1911,2111,1730.6,1851.36,2752.42,3672.81,2717.51,3556.89,2671.33,3334.25,3500.45,3536.4,2862.3,2741.05,3072.58,4056.54,4242.32,5620.17
,,,,,,,,,,,,,,,,,,,,
Hang_muc,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
coffee_price_usd_per_ton(world)(USD/ton),1114.68,1489.86,1910.01,2319.18,1643.41,1735.72,2408.29,2267.3,2074.93,2213.86,1940.87,1953.66,2225.77,1868.95,1621.83,1515.8,1980.28,2284.64,2626.29,4425.77
coffee_price_usd_per_ton(vietnam)(USD/ton),Null,Null,1554.922701,1991.509434,1462.244502,1520.164747,2189.245382,2120.369066,2090.157567,2103.966487,1991.792235,1872.829052,2235.02978,1884.10345,1726.806985,1751.156343,1967.202829,2282.273328,2613.632373,4177.937589
