date,region,price_vnd_per_kg,scraped_at,source
2024-12-01,DakLak,70700,2025-11-07T01:46:32.053547,chart_data
2024-12-01,DakNong,70800,2025-11-07T01:46:32.057810,chart_data
2024-12-01,GiaLai,70700,2025-11-07T01:46:32.044890,chart_data
2024-12-01,LamDong,70100,2025-11-07T01:46:32.049012,chart_data
2024-12-02,DakLak,70600,2025-11-07T01:46:32.053559,chart_data
2024-12-02,DakNong,70700,2025-11-07T01:46:32.057822,chart_data
2024-12-02,GiaLai,70600,2025-11-07T01:46:32.044909,chart_data
2024-12-02,LamDong,70000,2025-11-07T01:46:32.049023,chart_data
2024-12-03,DakLak,71400,2025-11-07T01:46:32.053567,chart_data
2024-12-03,DakNong,71500,2025-11-07T01:46:32.057830,chart_data
2024-12-03,GiaLai,71400,2025-11-07T01:46:32.044918,chart_data
2024-12-03,LamDong,70900,2025-11-07T01:46:32.049031,chart_data
2024-12-04,DakLak,72800,2025-11-07T01:46:32.053573,chart_data
2024-12-04,DakNong,72800,2025-11-07T01:46:32.057837,chart_data
2024-12-04,GiaLai,72700,2025-11-07T01:46:32.044925,chart_data
2024-12-04,LamDong,72200,2025-11-07T01:46:32.049039,chart_data
2024-12-05,DakLak,72000,2025-11-07T01:46:32.053580,chart_data
2024-12-05,DakNong,72000,2025-11-07T01:46:32.057843,chart_data
2024-12-05,GiaLai,71900,2025-11-07T01:46:32.044931,chart_data
2024-12-05,LamDong,71400,2025-11-07T01:46:32.049045,chart_data
2024-12-06,DakLak,71100,2025-11-07T01:46:32.053586,chart_data
2024-12-06,DakNong,71000,2025-11-07T01:46:32.057850,chart_data
2024-12-06,GiaLai,71000,2025-11-07T01:46:32.044938,chart_data
2024-12-06,LamDong,70500,2025-11-07T01:46:32.049051,chart_data
2024-12-07,DakLak,72500,2025-11-07T01:46:32.053592,chart_data
2024-12-07,DakNong,72400,2025-11-07T01:46:32.057856,chart_data
2024-12-07,GiaLai,72300,2025-11-07T01:46:32.044945,chart_data
2024-12-07,LamDong,71800,2025-11-07T01:46:32.049061,chart_data
2024-12-08,DakLak,72900,2025-11-07T01:46:32.053598,chart_data
2024-12-08,DakNong,72900,2025-11-07T01:46:32.057862,chart_data
2024-12-08,GiaLai,72800,2025-11-07T01:46:32.044951,chart_data
2024-12-08,LamDong,72200,2025-11-07T01:46:32.049067,chart_data
2024-12-09,DakLak,74100,2025-11-07T01:46:32.053604,chart_data
2024-12-09,DakNong,74200,2025-11-07T01:46:32.057868,chart_data
2024-12-09,GiaLai,74000,2025-11-07T01:46:32.044957,chart_data
2024-12-09,LamDong,73500,2025-11-07T01:46:32.049074,chart_data
2024-12-10,DakLak,74000,2025-11-07T01:46:32.053611,chart_data
2024-12-10,DakNong,74100,2025-11-07T01:46:32.057875,chart_data
2024-12-10,GiaLai,73900,2025-11-07T01:46:32.044964,chart_data
2024-12-10,LamDong,73400,2025-11-07T01:46:32.049080,chart_data
2024-12-11,DakLak,75000,2025-11-07T01:46:32.053617,chart_data
2024-12-11,DakNong,75100,2025-11-07T01:46:32.057881,chart_data
2024-12-11,GiaLai,74900,2025-11-07T01:46:32.044970,chart_data
2024-12-11,LamDong,74300,2025-11-07T01:46:32.049086,chart_data
2024-12-12,DakLak,75500,2025-11-07T01:46:32.053623,chart_data
2024-12-12,DakNong,75700,2025-11-07T01:46:32.057887,chart_data
2024-12-12,GiaLai,75400,2025-11-07T01:46:32.044976,chart_data
2024-12-12,LamDong,74900,2025-11-07T01:46:32.049092,chart_data
2024-12-13,DakLak,76600,2025-11-07T01:46:32.053629,chart_data
2024-12-13,DakNong,76900,2025-11-07T01:46:32.057893,chart_data
2024-12-13,GiaLai,76600,2025-11-07T01:46:32.044982,chart_data
2024-12-13,LamDong,76100,2025-11-07T01:46:32.049098,chart_data
2024-12-14,DakLak,77100,2025-11-07T01:46:32.053635,chart_data
2024-12-14,DakNong,77400,2025-11-07T01:46:32.057903,chart_data
2024-12-14,GiaLai,77000,2025-11-07T01:46:32.044988,chart_data
2024-12-14,LamDong,76500,2025-11-07T01:46:32.049104,chart_data
2024-12-15,DakLak,77300,2025-11-07T01:46:32.053641,chart_data
2024-12-15,DakNong,77800,2025-11-07T01:46:32.057910,chart_data
2024-12-15,GiaLai,77200,2025-11-07T01:46:32.044994,chart_data
2024-12-15,LamDong,76800,2025-11-07T01:46:32.049110,chart_data
2024-12-16,DakLak,77800,2025-11-07T01:46:32.053653,chart_data
2024-12-16,DakNong,78100,2025-11-07T01:46:32.057916,chart_data
2024-12-16,GiaLai,77800,2025-11-07T01:46:32.045001,chart_data
2024-12-16,LamDong,77200,2025-11-07T01:46:32.049116,chart_data
2024-12-17,DakLak,79200,2025-11-07T01:46:32.053661,chart_data
2024-12-17,DakNong,79700,2025-11-07T01:46:32.057922,chart_data
2024-12-17,GiaLai,79100,2025-11-07T01:46:32.045007,chart_data
2024-12-17,LamDong,78500,2025-11-07T01:46:32.049122,chart_data
2024-12-18,DakLak,79000,2025-11-07T01:46:32.053670,chart_data
2024-12-18,DakNong,79500,2025-11-07T01:46:32.057928,chart_data
2024-12-18,GiaLai,78800,2025-11-07T01:46:32.045013,chart_data
